BodyLength,Wingspan,Weight,PlumageColorHead,PlumageColorBack,PlumageColorBelly,PlumageColorWings,PlumageColorTail,BeakLength,BeakWidth,BeakShape,BeakColor,LegLength,LegColor,FootType,EyeColor,DietType,FeedingBehavior,PreferredHabitat,GeographicalRange,MigratoryBehavior,BreedingSeason,NestType,ClutchSize,EggColor,IncubationPeriod,FledglingPeriod,SocialBehavior,FlightPattern,VocalizationType,SoundFrequency,TypicalActivityPeriod,Predators,Lifespan,SexualDimorphism,MoltFrequency,TarsusLength,WingShape,TailShape,ConservationStatus,TerritorialBehavior,MigrationDistance,ForagingHeight,WaterDependency,TemperaturePreference,ColorVision,NocturnalVision,HearingAcuity,OlfactoryAcuity,TouchSensitivity,PollinationRole,SeedDispersalRole,InterspecificInteraction,IntraspecificInteraction,LearningAbility,ToolUse,ParentalCareLevel,BathingBehavior,GroomingBehavior,FlightSpeed,SpeciesClass
8.479,3.823,0.042,9.551,6.89,6.728,5.108,4.518,6.913,3.285,6.036,0.693,5.639,6.296,3.347,6.458,5.71,6.954,3.9,8.96,7.049,1.793,2.752,5.927,4.315,3.807,2.571,5.821,1.081,2.958,3.077,3.065,9.762,9.679,6.285,4.943,0.795,8.701,9.879,2.303,9.211,7.724,8.254,5.742,6.134,No,Yes,2.583,8.493,0.464,1.891,5.015,6.331,6.8,9.974,1.569,7.642,3.756,4.763,3.59,3
8.658,5.81,7.329,0.518,2.791,7.317,0.469,0.855,6.876,5.024,8.344,4.923,0.131,9.203,2.264,0.418,9.825,5.811,9.191,8.381,4.814,6.186,4.951,6.615,6.237,7.086,9.769,8.494,2.574,7.351,3.719,9.184,0.999,1.422,9.8,8.757,0.224,7.366,9.778,4.046,2.384,1.478,9.917,9.311,6.199,No,Yes,8.932,9.023,2.306,4.799,5.044,8.132,2.14,8.928,2.876,6.858,5.906,1.129,0.131,3
8.933,0.22,6.196,7.63,8.098,1.845,8.703,8.451,3.44,5.744,2.736,9.214,9.963,4.116,9.774,3.486,3.748,4.254,2.292,0.8,8.838,0.244,4.624,6.917,9.734,4.31,5.528,5.247,1.126,1.966,5.664,0.182,7.674,6.55,7.598,5.707,9.299,2.78,0.691,5.679,4.38,3.775,7.607,7.992,3.822,No,Yes,9.531,0.565,0.786,1.879,7.982,3.558,4.508,6.806,8.814,0.363,3.781,0.453,1.687,5
0.272,5.777,8.357,5.259,5.952,6.063,3.207,6.166,0.612,2.365,4.144,8.727,6.562,4.232,1.181,0.174,2.639,9.593,4.87,9.637,8.182,8.143,3.269,1.988,5.282,1.121,6.697,9.092,8.662,6.939,0.129,0.56,7.098,7.849,3.465,8.714,8.309,3.008,2.999,8.713,6.469,4.237,2.691,6.886,4.393,Yes,No,6.601,8.327,1.982,6.4,0.852,5.916,2.953,0.717,1.616,5.511,2.598,6.783,8.288,0
7.867,1.89,0.781,1.982,7.264,1.255,1.545,3.31,6.984,1.275,9.017,5.541,5.931,9.231,4.554,1.413,3.915,2.462,8.184,7.199,9.385,2.717,8.356,0.137,8.714,2.529,3.754,6.365,1.842,0.657,6.89,3.283,8.721,8.578,4.127,9.587,0.535,6.403,0.505,7.577,7.678,1.511,7.381,4.048,3.331,No,Yes,6.798,8.182,5.403,7.252,2.87,7.285,3.776,5.757,8.782,9.649,4.671,7.273,2.321,0
8.228,1.608,7.842,0.535,8.193,5.422,5.852,7.382,3.147,8.264,0.912,4.768,6.093,9.956,8.348,0.788,0.427,8.649,0.778,2.422,3.433,3.331,3.897,9.814,2.509,0.652,0.61,3.377,1.87,0.005,5.539,9.845,7.855,2.828,4.837,0.729,1.695,5.176,2.464,9.584,4.57,4.611,4.06,3.341,3.227,Yes,Yes,4.906,3.834,2.877,5.047,1.121,4.792,2.28,3.366,2.972,1.132,3.669,4.263,7.685,4
6.738,9.637,5.696,7.175,7.386,7.449,4.691,0.208,6.163,9.852,5.374,3.159,0.952,9.748,3.743,3.943,8.008,7.825,0.753,3.081,5.187,1.646,7.832,3.867,1.444,0.025,4.681,9.461,6.185,2.585,9.801,0.535,1.676,6.171,1.999,3.984,0.244,2.401,2.89,8.605,9.787,0.692,6.265,9.539,6.699,Yes,Yes,0.908,1.267,0.76,3.86,0.258,4.14,8.471,7.935,4.193,0.93,0.797,5.914,6.968,2
8.943,0.318,4.28,4.784,2.87,7.642,0.742,0.246,4.184,4.235,4.842,9.314,5.01,9.037,6.563,8.979,4.454,4.915,2.054,4.232,0.453,0.883,2.531,6.586,1.768,9.582,8.182,8.28,3.182,4.948,5.903,0.281,2.788,8.61,7.546,4.552,7.02,3.368,0.458,1.836,1.915,8.586,3.041,4.319,5.599,Yes,No,3.628,2.033,5.292,1.951,2.071,2.162,5.293,3.512,9.839,0.541,5.537,2.831,7.739,5
7.011,2.264,0.737,9.528,9.953,8.613,0.974,1.916,0.105,5.563,3.981,2.106,3.77,8.261,6.37,3.607,0.412,5.647,6.662,4.741,0.116,0.191,8.838,4.685,1.932,5.026,1.86,4.694,4.863,3.842,6.272,5.692,9.985,1.419,3.872,8.291,4.192,6.586,7.073,3.253,8.909,3.659,0.704,5.354,0.569,No,Yes,9.986,0.122,1.448,5.707,9.347,8.77,6.249,6.092,1.173,8.558,7.216,2.616,5.773,1
3.829,1.861,7.504,1.312,8.398,3.952,8.945,1.134,4.444,8.707,9.745,8.264,4.383,3.917,1.627,7.036,5.361,2.016,6.509,1.512,6.78,8.548,8.371,9.564,8.277,1.085,0.884,8.796,6.32,1.913,8.431,9.041,4.587,2.996,0.45,6.059,3.23,4.707,4.068,3.512,3.525,6.28,1.217,7.875,6.694,No,No,8.213,2.839,3.69,9.774,5.098,6.721,2.537,3.731,8.211,2.774,3.971,3.637,7.737,2
7.724,6.426,3.251,8.748,5.282,2.271,1.999,0.782,3.063,3.573,3.738,5.129,6.818,6.123,6.005,0.537,7.637,5.954,1.473,7.845,6.566,1.634,2.719,2.932,1.265,6.992,8.275,3.198,8.235,0.407,2.243,3.335,6.797,2.151,5.925,6.429,3.522,8.505,9.061,4.63,0.115,5.336,9.362,6.772,8.416,No,Yes,8.748,9.191,5.422,0.348,3.489,6.469,8.219,3.184,2.743,2.242,4.416,0.501,7.842,1
4.505,5.083,1.075,7.718,9.038,1.055,0.404,8.999,9.241,6.509,5.07,8.568,9.839,7.459,0.206,9.901,9.903,0.833,8.547,8.334,0.155,3.108,8.637,5.187,8.919,7.063,9.156,1.696,7.323,9.529,8.271,8.105,9.361,3.141,4.681,6.105,3.783,4.968,6.153,9.015,9.392,8.477,7.136,9.602,9.072,Yes,Yes,0.809,4.84,2.862,8.913,5.817,8.774,8.239,5.687,1.032,4.77,6.096,1.172,5.596,0
0.808,6.141,6.332,2.522,0.388,9.533,1.667,3.022,2.711,8.745,6.749,7.308,9.451,4.812,8.155,7.263,6.982,4.281,2.365,9.807,4.294,2.923,4.86,8.095,7.488,6.407,1.376,6.469,6.514,5.744,3.639,4.328,7.26,0.6,8.377,2.928,8.741,1.206,5.267,5.777,0.735,2.335,2.361,6.973,1.459,No,Yes,2.768,4.204,9.16,7.278,2.623,5.506,9.056,5.882,7.065,9.93,0.276,7.073,4.992,5
7.906,0.392,8.064,4.532,8.557,7.887,5.076,7.698,3.122,2.004,2.238,6.249,7.874,3.052,3.581,9.952,5.693,6.665,8.711,9.715,0.435,0.376,6.643,8.766,7.952,3.639,9.631,0.483,5.282,1.76,9.535,5.327,5.23,6.311,0.966,5.574,0.362,6.009,6.161,9.115,0.246,5.911,0.617,6.196,3.667,Yes,Yes,8.081,3.691,4.318,6.971,0.488,5.685,0.258,4.743,4.819,3.98,2.522,8.838,4.728,2
2.673,5.269,2.791,0.61,4.542,3.726,5.825,0.631,7.633,0.766,5.542,1.257,6.294,2.989,3.782,4.184,1.373,3.861,3.604,7.154,7.025,4.894,5.826,6.674,0.352,5.153,2.674,7.562,1.793,2.118,0.786,0.023,2.566,2.98,9.905,1.555,2.972,0.881,7.541,6.243,8.159,7.38,2.995,5.137,0.138,No,No,2.424,5.409,7.043,1.546,2.645,7.997,0.439,9.261,9.224,3.183,7.922,4.91,5.526,2
1.558,7.245,6.789,6.577,4.292,0.294,4.544,0.13,3.599,7.144,8.21,5.929,9.454,7.929,4.329,2.065,0.197,2.709,8.852,9.056,6.379,6.512,5.475,4.939,4.884,8.663,2.271,2.203,3.103,9.722,5.935,6.812,7.295,0.808,4.485,0.539,9.017,9.293,3.55,7.185,0.461,2.082,0.545,2.036,0.741,Yes,Yes,0.076,9.554,2.73,9.82,8.875,0.329,4.511,7.138,2.332,1.085,3.508,6.933,2.249,3
7.821,7.719,6.971,1.718,6.022,3.561,1.811,8.67,1.656,5.811,7.728,0.718,7.151,1.058,5.488,3.334,4.404,3.525,5.534,7.913,2.496,9.024,1.264,7.584,5.613,3.526,6.439,7.018,8.097,5.498,2.891,6.453,9.333,3.08,6.385,0.578,7.834,7.184,9.759,0.824,9.373,1.409,3.934,5.829,0.083,Yes,No,8.763,5.742,9.899,0.5,0.084,7.402,0.436,7.784,7.618,7.22,8.353,5.188,4.108,0
0.212,0.649,4.878,5.401,1.822,1.042,0.268,2.183,9.435,8.041,5.063,3.343,4.29,9.945,0.509,6.157,7.66,1.08,1.522,4.382,7.13,6.062,4.639,1.71,6.789,9.286,2.915,9.555,5.554,3.667,8.643,9.391,5.528,5.275,4.254,6.463,2.786,5.658,3.968,0.241,9.796,7.827,9.152,3.81,9.38,Yes,No,9.579,2.396,3.671,8.817,2.053,8.507,5.054,9.849,6.048,7.846,9.563,8.382,4.374,0
4.079,7.272,6.092,5.082,6.825,9.414,1.27,5.869,4.899,8.087,6.373,1.022,8.024,9.118,5.043,2.612,6.782,8.299,2.288,7.841,7.478,7.507,6.112,4.29,0.119,7.741,4.948,7.489,9.84,9.989,9.925,0.005,6.73,0.728,1.453,3.456,3.768,3.97,1.234,1.351,0.668,7.106,2.597,6.704,1.679,Yes,Yes,3.011,8.517,5.523,2.505,1.668,9.979,9.116,2.84,5.569,3.486,4.759,2.909,7.895,4
5.135,7.806,0.564,7.81,7.719,4.419,4.714,7.914,2.121,1.425,1.123,2.827,5.355,9.541,4.817,0.519,6.429,2.848,9.946,5.094,5.077,9.154,6.344,1.514,6.861,9.778,3.551,4.173,2.588,9.087,2.808,5.064,8.022,7.381,8.055,8.635,9.103,3.533,7.016,7.982,0.022,6.733,0.715,1.906,7.851,No,No,8.314,2.405,9.912,5.438,4.747,2.689,7.12,2.106,2.218,4.833,3.96,3.517,1.952,4
2.596,6.189,9.766,5.596,5.69,3.414,1.506,4.493,4.43,9.68,3.458,1.706,8.016,4.512,6.061,8.419,0.929,2.08,1.218,5.436,0.702,6.779,8.915,5.672,1.14,0.05,0.159,7.224,5.445,3.122,5.61,5.343,3.153,9.282,7.739,8.165,5.566,7.601,6.171,2.039,4.62,5.223,7.484,6.096,6.996,Yes,Yes,7.922,6.545,1.256,5.097,2.36,2.545,8.834,7.483,2.536,7.269,8.187,6.037,7.349,4
1.782,4.236,4.519,7.756,1.692,8.774,5.719,3.053,9.354,8.353,9.837,6.208,0.177,0.616,9.208,4.005,6.148,2.538,7.603,6.791,6.361,7.171,1.504,0.341,2.987,3.879,8.716,4.931,0.495,6.477,3.429,7.994,6.139,0.744,1.349,5.418,9.261,2.571,9.913,2.291,4.233,3.081,5.765,5.291,0.499,Yes,Yes,7.283,9.72,9.587,7.886,0.727,7.785,1.581,6.661,5.146,5.194,6.979,9.275,6.196,5
5.146,1.43,1.96,2.099,5.698,5.216,1.352,8.86,3.936,9.249,2.733,8.781,2.062,2.203,8.213,2.577,9.727,1.46,7.357,5.347,2.453,6.589,9.386,7.31,7.718,3.24,9.313,7.337,4.037,4.332,2.845,0.601,4.978,1.634,2.912,3.539,4.037,9.516,6.21,3.359,6.263,3.206,9.024,7.651,3.467,No,No,4.922,7.575,6.061,0.351,7.479,1.648,8.819,6.887,7.605,9.173,2.032,9.717,7.236,1
5.158,9.098,1.136,3.613,9.333,4.26,9.235,0.688,1.301,8.23,0.353,9.22,6.627,8.233,7.56,7.734,4.839,8.641,1.037,4.695,5.947,1.065,7.687,6.615,4.948,2.593,8.031,7.981,3.659,8.24,9.712,8.646,0.811,1.812,4.82,0.206,3.239,9.039,1.233,7.582,3.847,8.306,4.055,8.108,5.509,Yes,No,9.884,8.704,1.477,1.357,0.999,4.915,2.304,7.574,5.446,3.412,7.071,2.681,5.836,5
9.121,4.47,6.618,7.532,4.29,0.275,6.184,9.478,7.814,5.349,9.42,2.259,3.065,8.897,8.515,0.099,8.731,0.784,9.565,0.157,4.053,3.442,7.528,7.482,5.283,2.455,3.907,5.657,8.32,0.831,9.678,9.385,0.73,8.89,5.728,8.303,7.2,6.138,0.001,5.977,4.323,4.074,4.012,9.661,9.854,Yes,Yes,8.6,9.634,6.174,0.673,9.458,7.471,9.391,3.804,8.378,9.064,0.455,4.504,2.014,0
9.765,8.254,0.665,0.587,2.813,0.354,2.312,7.826,0.239,6.99,8.168,6.126,2.317,1.76,2.185,6.441,3.108,5.46,8.407,5.693,0.997,0.47,3.509,9.382,4.006,3.247,1.153,5.586,5.995,4.606,3.522,7.578,8.946,8.97,4.897,4.793,3.397,1.807,1.697,5.336,2.585,6.209,6.429,1.591,1.526,No,No,4.975,9.659,2.294,9.981,6.942,4.6,2.662,7.14,6.147,4.249,1.586,9.303,8.567,2
2.507,4.841,9.68,7.327,5.595,0.576,1.356,7.642,7.047,4.819,6.269,6.376,1.264,8.435,9.036,2.845,3.583,6.195,4.375,1.379,2.584,6.665,6.553,6.387,0.826,7.107,4.537,9.44,8.603,9.053,7.899,9.484,9.135,1.827,7.184,3.58,5.889,0.637,7.619,4.884,9.463,8.865,3.825,8.857,8.457,No,Yes,9.919,3.012,7.652,7.738,5.221,0.361,6.818,6.456,8.364,5.452,3.404,3.585,2.309,4
0.139,4.758,6.973,6.247,7.761,9.777,0.171,4.398,1.042,7.171,8.073,8.073,5.524,9.072,8.576,8.232,9.233,1.284,6.855,8.284,6.562,4.411,1.025,4.729,6.228,6.081,7.312,8.159,0.732,1.748,4.995,2.072,3.001,5.493,3.858,4.676,8.707,8.517,0.615,0.701,8.773,0.373,9.023,8.154,3.604,No,No,1.183,3.296,2.845,2.589,8.331,4.281,2.221,4.31,3.391,7.102,1.528,9.744,8.955,0
2.709,7.308,3.647,1.325,2.844,9.006,9.215,0.595,6.361,1.587,5.176,5.747,2.689,1.402,6.84,0.711,1.724,2.728,7.578,5.455,3.614,8.315,9.468,5.77,0.284,5.678,3.171,3.109,7.143,4.652,4.564,4.811,6.334,7.014,9.302,7.175,6.898,4.341,9.214,4.791,6.96,9.938,5.518,8.542,6.275,No,Yes,5.135,8.44,8.519,9.498,4.296,2.59,8.415,7.678,3.915,5.27,6.997,1.594,7.133,0
1.598,4.297,8.914,9.676,4.472,7.389,7.732,3.482,9.153,2.457,8.628,7.877,8.474,6.129,3.514,8.067,6.268,7.696,2.271,3.2,9.458,3.07,8.51,0.839,8.586,2.254,0.787,7.622,8.51,3.081,7.866,2.739,6.287,0.916,4.925,2.296,4.687,3.068,3.936,9.676,0.99,8.175,7.773,8.931,7.663,No,Yes,4.106,3.406,2.036,6.057,5.547,3.176,9.773,5.594,3.398,7.28,1.175,1.666,3.644,2
1.304,8.132,7.202,9.426,5.872,3.421,0.216,6.226,6.635,0.417,7.985,2.394,5.061,7.637,1.45,0.242,1.834,8.952,3.47,7.751,0.198,8.422,4.375,7.907,0.624,7.099,1.897,8.403,2.569,8.735,1.911,8.073,3.356,4.41,6.311,9.414,5.021,3.03,1.638,0.261,9.748,8.727,9.936,3.61,1.347,No,No,5.251,5.549,0.895,2.153,6.945,3.086,1.304,2.787,3.128,7.414,3.285,6.648,9.759,3
5.762,6.982,0.085,6.112,1.457,6.431,1.625,3.325,6.344,5.189,7.934,4.505,8.42,2.862,5.119,2.227,1.669,0.081,0.664,0.643,2.414,1.234,5.326,1.192,0.794,1.324,7.553,9.049,8.631,2.625,7.561,0.576,0.91,6.368,1.544,7.087,2.198,9.722,6.057,2.607,0.177,5.553,2.019,1.191,2.994,No,No,6.117,0.315,3.153,3.0,8.716,2.051,4.485,2.001,3.955,3.567,7.599,9.16,4.503,4
8.495,0.978,7.568,3.838,3.535,9.076,8.842,6.04,5.103,4.056,7.867,4.607,6.762,1.945,6.186,8.059,3.207,9.188,4.37,0.918,8.025,5.888,5.205,3.892,5.865,3.138,8.051,3.212,2.7,6.517,4.436,3.816,5.076,3.967,6.898,5.857,3.548,4.093,1.967,6.217,8.056,5.075,0.708,3.35,1.756,No,No,9.053,2.941,7.41,9.472,3.52,2.416,2.869,5.701,3.986,8.278,9.547,4.19,5.914,3
3.378,6.959,6.495,3.366,1.096,7.022,7.879,8.921,7.897,3.654,6.932,3.311,7.297,1.261,3.194,2.91,2.218,5.767,2.062,9.707,7.524,5.427,9.269,0.969,1.61,9.955,0.975,6.406,8.541,0.327,2.932,7.113,7.546,5.463,4.256,3.003,0.434,1.39,4.228,1.656,9.417,9.116,4.632,7.94,6.872,Yes,No,8.683,4.289,3.777,2.933,4.295,1.82,1.633,2.294,6.102,4.921,8.726,9.269,0.892,0
2.625,7.095,0.221,5.128,4.722,3.586,7.464,5.018,9.762,0.524,9.684,4.494,6.232,7.546,9.6,8.704,3.989,1.056,7.457,6.135,3.437,5.889,8.555,1.729,8.973,4.568,5.979,5.477,3.957,3.642,9.5,0.417,1.554,7.46,1.34,0.704,8.324,5.509,0.549,9.249,4.466,6.64,0.014,7.195,3.103,No,Yes,6.77,0.244,0.304,2.684,2.991,1.89,7.074,7.368,9.059,8.505,4.115,4.189,7.188,4
5.521,9.705,3.652,4.86,5.482,7.556,1.627,6.716,2.408,3.582,8.146,2.712,3.654,4.58,9.588,5.715,7.952,8.286,0.917,8.14,4.663,7.767,2.626,2.198,0.999,7.042,0.917,9.917,1.811,3.158,8.779,1.139,0.808,2.937,9.643,7.203,0.081,6.747,4.995,3.65,4.209,7.479,4.549,0.793,6.811,No,No,0.198,2.46,8.516,4.661,0.858,6.935,4.8,8.906,3.37,7.698,1.526,8.62,5.361,5
3.08,4.012,9.365,9.383,3.308,9.581,5.74,6.177,6.877,1.937,8.697,1.347,7.166,5.227,2.233,3.178,1.414,6.777,4.055,7.923,9.212,5.034,3.797,1.803,0.07,4.537,7.477,3.018,2.146,0.223,7.731,2.612,6.302,6.351,9.063,1.789,4.114,9.098,5.437,5.895,1.521,8.526,3.456,5.93,6.512,Yes,No,0.343,0.803,1.395,3.644,5.338,1.497,9.033,0.266,8.378,0.351,2.537,3.656,5.166,4
3.133,9.843,9.227,2.949,0.021,5.797,0.375,9.538,6.988,5.25,6.574,8.059,5.68,6.901,0.905,1.677,8.793,4.083,9.021,6.445,8.316,1.713,0.276,3.576,4.357,6.801,1.445,7.007,1.091,4.002,5.361,6.268,4.929,5.391,5.708,4.408,6.133,5.54,7.961,2.829,8.908,2.601,3.024,6.241,1.496,Yes,Yes,1.451,3.42,9.139,8.99,2.347,6.905,2.957,6.167,5.335,6.493,2.536,5.627,9.033,4
8.647,1.004,2.953,7.24,4.336,4.929,3.381,2.687,5.222,2.191,7.854,0.246,4.441,6.094,4.969,2.847,5.861,6.64,0.01,0.332,7.983,5.91,2.486,5.785,5.309,3.746,9.036,1.465,5.661,7.162,8.621,0.494,8.822,9.657,4.492,5.77,0.041,8.307,7.117,9.144,8.014,5.375,7.599,3.874,1.878,Yes,Yes,4.27,0.884,4.846,5.303,2.046,1.913,4.194,7.452,8.289,7.043,9.79,2.915,7.441,5
8.666,5.404,2.701,1.446,2.866,3.381,0.209,8.843,3.2,2.641,6.409,4.511,1.72,8.971,7.143,9.54,4.867,8.15,0.586,9.745,9.716,4.807,1.35,5.857,0.549,9.168,3.821,6.717,4.3,2.978,8.386,9.509,8.138,6.229,7.417,3.153,1.398,3.976,0.772,1.299,1.446,6.396,7.382,2.677,6.124,Yes,Yes,1.024,7.763,0.284,7.867,5.338,9.791,0.736,5.949,2.077,5.696,6.631,3.487,2.828,2
3.918,3.943,1.089,6.483,8.419,8.379,0.819,2.371,4.977,7.728,7.433,4.81,6.482,0.285,1.504,7.933,4.689,9.539,4.296,2.232,7.574,7.845,0.053,2.962,7.416,6.841,2.037,4.941,9.813,5.891,7.745,3.431,8.714,1.767,2.255,9.891,1.823,4.559,4.417,6.001,5.89,0.623,3.817,6.273,4.855,No,Yes,4.639,1.265,4.473,9.194,8.12,1.621,4.426,3.213,9.205,3.582,3.789,5.26,4.95,4
4.436,1.068,3.081,8.188,8.006,6.862,5.43,3.91,3.789,0.388,1.251,2.363,8.989,6.655,4.847,2.107,1.534,5.094,4.092,5.139,6.297,5.023,1.453,3.747,1.914,4.539,4.911,8.426,7.398,7.641,6.944,5.881,8.233,2.064,7.872,7.736,6.81,7.047,7.104,4.549,2.15,2.198,7.986,3.718,9.578,Yes,Yes,5.448,2.67,3.265,7.537,1.609,3.433,0.402,9.744,2.33,1.335,2.172,3.382,0.661,0
3.952,5.043,6.988,5.142,7.534,4.516,8.321,7.088,5.71,9.569,9.519,6.391,2.884,9.699,7.502,4.899,6.044,5.496,3.074,7.073,9.63,5.826,8.797,0.38,5.528,8.67,7.487,6.778,7.87,6.482,1.575,4.051,0.313,9.252,8.44,1.443,3.425,8.483,8.865,7.654,7.631,1.716,8.288,9.118,2.662,Yes,No,0.103,2.729,4.587,0.833,2.024,9.737,4.17,0.235,2.618,6.692,4.083,3.213,2.494,1
3.23,0.881,0.16,5.888,7.429,5.662,1.538,9.53,1.138,2.487,5.797,3.215,2.787,5.551,9.815,1.16,1.481,5.641,6.561,0.218,4.395,5.335,5.662,9.864,8.78,0.248,1.467,3.21,0.676,4.765,7.414,5.717,9.774,0.86,1.261,1.302,7.626,0.72,5.362,4.525,3.028,2.555,1.83,7.811,9.285,Yes,No,6.282,6.078,4.193,0.687,6.259,4.317,3.571,7.234,6.372,8.448,9.736,8.219,4.3,5
9.841,7.482,5.644,9.058,4.754,3.913,0.037,0.8,9.621,0.368,1.14,9.569,3.674,1.274,3.163,8.093,1.336,7.151,5.606,1.05,0.564,9.444,5.886,3.533,6.882,2.592,4.655,6.154,0.058,7.988,9.694,2.493,1.799,0.338,4.7,8.03,1.876,8.823,8.246,6.019,9.117,1.91,5.684,6.021,9.907,Yes,No,7.768,7.391,8.625,4.711,5.295,6.026,0.581,3.71,3.183,9.61,6.192,5.778,8.807,4
3.631,5.75,2.65,4.882,8.333,8.964,3.95,3.33,3.465,9.779,0.763,8.441,0.889,3.997,1.07,2.339,2.334,4.335,6.448,8.24,6.241,4.065,0.557,8.124,3.117,3.726,7.321,2.459,3.222,1.747,4.09,4.864,8.906,2.772,4.672,7.642,9.324,5.07,9.874,3.3,6.255,0.288,8.683,6.03,5.331,No,No,0.992,0.779,0.172,1.293,6.521,0.873,5.829,8.549,5.204,8.203,5.182,7.453,9.52,1
8.248,3.102,5.974,5.362,5.566,9.65,0.399,4.02,7.32,3.937,9.613,1.457,9.274,4.221,0.819,5.537,4.655,1.91,7.742,2.74,6.949,4.027,2.154,8.133,9.926,1.345,6.802,0.199,3.841,2.585,0.666,7.63,5.976,7.069,2.246,9.823,8.145,4.263,1.018,8.034,4.846,3.692,3.145,9.332,3.476,Yes,No,9.26,4.502,2.95,6.055,4.907,5.102,6.662,9.428,9.686,4.131,2.787,5.229,8.15,3
0.705,2.715,0.415,8.893,6.318,6.027,5.688,4.895,3.975,4.375,6.786,1.156,2.115,2.262,9.84,0.684,0.392,2.36,9.164,7.047,8.819,8.21,3.33,9.115,3.075,5.383,4.41,7.384,1.133,6.556,2.911,0.067,2.909,2.738,2.683,9.189,8.835,1.239,4.144,0.094,6.187,1.522,3.465,0.721,9.662,Yes,No,2.279,0.392,8.514,8.673,3.148,0.272,7.241,2.019,5.596,0.299,4.221,3.525,5.584,4
5.435,0.764,6.378,6.323,6.75,2.277,8.411,6.234,9.563,5.031,5.343,3.025,3.785,6.158,9.063,5.971,1.814,7.921,3.132,2.157,8.26,7.443,5.531,2.744,7.598,5.236,7.254,5.61,9.363,5.085,5.916,8.117,6.62,8.772,9.868,0.97,3.055,6.613,2.836,7.943,0.174,8.996,7.347,7.423,6.135,No,No,4.916,7.265,8.138,5.642,0.576,7.525,1.104,8.395,0.302,3.871,7.692,0.78,2.684,0
6.592,6.814,3.588,8.328,5.632,0.992,0.577,8.14,2.031,4.448,7.49,2.987,1.242,9.135,1.314,5.311,2.353,2.282,3.853,8.966,6.013,7.431,4.443,1.008,9.671,3.74,9.137,0.097,2.985,3.24,4.171,6.84,0.086,5.815,8.408,8.864,1.628,2.068,7.91,2.348,1.0,3.041,3.933,1.921,2.796,No,No,2.698,7.635,5.233,3.166,5.3,2.632,9.848,8.699,9.04,9.271,3.399,7.251,8.503,5
9.295,6.137,6.717,7.792,9.601,8.395,3.139,6.39,1.655,7.314,2.454,5.711,3.48,3.077,0.632,4.896,8.77,2.122,9.561,4.18,0.739,2.739,4.185,0.643,3.581,2.329,1.049,3.719,2.033,4.508,7.741,7.338,4.148,8.81,2.813,6.257,2.243,5.542,4.858,5.054,9.779,8.451,0.187,1.904,5.478,Yes,No,8.608,9.857,8.735,8.298,6.846,2.779,4.365,3.958,7.179,0.574,1.679,7.669,5.145,1
7.735,0.616,8.971,5.569,2.167,7.964,6.576,7.426,6.953,8.264,6.333,6.335,5.01,7.425,8.933,6.236,0.511,5.832,1.234,8.381,9.302,4.164,3.078,5.7,0.399,6.965,5.752,5.737,8.107,9.029,5.452,7.814,6.361,9.264,2.094,6.026,3.475,7.027,1.911,3.645,1.724,5.356,2.829,3.135,3.281,Yes,No,5.397,5.5,9.55,6.55,7.402,0.668,7.129,6.025,9.512,3.443,2.723,0.029,6.343,5
3.953,6.315,3.88,6.329,1.336,0.301,5.439,8.278,2.819,8.265,8.247,6.657,0.247,3.907,8.926,0.492,8.695,8.695,8.524,1.402,7.992,8.895,9.338,7.046,2.493,1.073,4.549,3.616,3.732,2.347,0.537,9.195,8.524,9.426,3.052,6.076,4.83,5.35,3.642,0.546,5.716,6.631,8.697,8.012,3.934,Yes,Yes,9.439,7.366,0.465,1.249,1.242,3.892,2.367,0.153,1.953,3.767,0.856,8.537,9.999,3
1.481,5.774,9.342,7.533,0.293,6.8,9.909,5.16,3.155,7.63,0.863,8.079,5.356,3.054,9.328,3.3,9.618,6.882,8.196,1.147,9.547,4.562,6.494,4.199,1.922,7.574,9.292,1.043,5.758,2.405,6.899,6.43,3.475,7.105,0.591,3.902,5.285,2.742,9.432,8.026,3.486,2.17,0.055,7.381,3.216,No,No,6.025,0.943,8.586,1.462,4.316,8.088,2.714,6.679,4.127,0.34,2.843,8.152,5.128,0
9.049,4.964,1.007,2.106,5.131,9.627,6.136,8.009,7.962,9.68,1.786,6.935,2.567,6.603,8.145,5.365,0.253,4.954,6.765,4.103,2.377,3.548,9.869,8.523,2.332,4.997,0.147,5.844,8.24,1.382,5.935,5.087,3.754,4.201,0.765,9.867,8.718,1.004,2.677,6.413,1.309,3.61,8.18,8.895,4.496,No,Yes,6.902,0.796,4.528,2.872,2.885,6.897,1.188,5.066,5.737,5.391,8.205,6.805,2.618,0
9.418,4.881,5.839,9.818,7.789,1.791,1.833,5.548,5.147,0.542,4.732,3.35,8.255,0.154,6.146,2.043,8.841,8.446,9.839,4.122,1.748,1.258,7.919,1.117,0.891,0.272,4.163,2.653,3.083,7.753,0.863,0.095,6.726,5.728,8.239,5.278,2.653,1.366,5.155,9.312,6.226,1.675,3.71,0.652,6.013,No,Yes,7.101,8.467,7.567,3.879,4.012,0.742,6.601,5.034,8.692,7.053,5.613,2.675,0.594,1
